2025-07-15 14:29:17.896 [restartedMain] INFO  [c.n.U.UserServiceApplication] - Starting UserServiceApplication using Java 17.0.2 with PID 22772 (C:\Users\hparichha\IdeaProjects\FRONTEND + BACKEND\BACKEND\UserService\target\classes started by hparichha in C:\Users\hparichha\IdeaProjects\FRONTEND + BACKEND\BACKEND)
2025-07-15 14:29:17.917 [restartedMain] INFO  [c.n.U.UserServiceApplication] - No active profile set, falling back to 1 default profile: "default"
2025-07-15 14:29:18.109 [restartedMain] INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-15 14:29:18.110 [restartedMain] INFO  [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-07-15 14:29:22.231 [restartedMain] INFO  [o.s.cloud.context.scope.GenericScope] - BeanFactory id=5ef12df9-a1f8-3169-bd41-a79472cadd29
2025-07-15 14:29:22.653 [restartedMain] WARN  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2025-07-15 14:29:22.658 [restartedMain] WARN  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2025-07-15 14:29:23.664 [restartedMain] INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port 8084 (http)
2025-07-15 14:29:23.865 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 5754 ms
2025-07-15 14:29:25.133 [restartedMain] INFO  [o.h.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-15 14:29:25.232 [restartedMain] INFO  [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.5.3.Final
